Flight_Number,Departure_Airport,Arrival_Airport,Flight_Date,Flight_Time,Booking_Date,Booking_Channel,Passenger_ID,Age,Travel_Class,Ticket_Price,Fare_Class,Payment_Method,Flight_Month,Date,GDP_Growth_Rate,Inflation_Rate,Unemployment_Rate,Month,Holiday_Name,Holiday_Date,Holiday_Type,Holiday_Indicator,Weather_Condition,Temperature,Wind_Speed,Precipitation,Departure_Delay,Cancellation,Competitor_Price,Booking_Lead_Time,Airline,Flight_Date_Numeric,Booking_Date_Numeric,Flight_Time_Minutes,Holiday_Date_Numeric
DA404,LAX,SEA,2023-08-11,11:28:00,2023-05-23,Travel Agency,147,48,Business,1332.75,Discount,Debit Card,2023-08,2023-08-01,4.68,0.36,8.92,2023-08,No Holiday,2023-08-11,Non-Holiday,0,Clear,10.85,14.64,41.3,18,0,737.12,80,Delta Airlines,222,238,688,222
EA505,DEN,MIA,2023-11-24,20:27:00,2023-09-18,Online,1261,62,First Class,281.21,Regular,Debit Card,2023-11,2023-11-01,0.77,7.73,8.5,2023-11,No Holiday,2023-11-24,Non-Holiday,0,Snow,34.65,9.89,37.68,103,0,1243.98,67,Emirates,327,356,1227,327
CA303,DFW,SFO,2023-01-01,13:05:00,2022-10-10,Travel Agency,327,19,Business,498.22,Discount,Debit Card,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,Independence Day,2023-01-01,Cultural Event,1,Clear,-6.23,7.38,2.35,157,0,1036.87,83,Air Canada,0,13,785,0
BA202,LAX,MIA,2023-11-14,22:42:00,2023-10-06,Travel Agency,1695,63,Economy,678.97,Premium,Miles,2023-11,2023-11-01,0.77,7.73,8.5,2023-11,No Holiday,2023-11-14,Non-Holiday,0,Rain,21.6,13.98,17.71,100,0,453.4,39,British Airways,317,374,1362,317
CA303,ORD,LAS,2023-03-15,15:58:00,2023-02-04,Online,4355,57,First Class,940.5,Premium,Debit Card,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-15,Non-Holiday,0,Snow,19.87,1.54,38.78,110,0,1299.46,39,Air Canada,73,130,958,73
EA505,ORD,MIA,2023-05-22,14:16:00,2023-03-14,Online,4523,19,Business,1221.02,Premium,Credit Card,2023-05,2023-05-01,-1.37,5.33,6.61,2023-05,No Holiday,2023-05-22,Non-Holiday,0,Snow,9.21,0.87,36.83,196,0,524.54,69,Emirates,141,168,856,141
BA202,LAX,ATL,2023-02-02,21:51:00,2023-01-29,Travel Agency,3056,65,Business,465.39,Premium,Debit Card,2023-02,2023-02-01,-0.8,3.75,6.88,2023-02,No Holiday,2023-02-02,Non-Holiday,0,Storm,-6.57,11.85,31.95,88,0,955.21,4,British Airways,32,124,1311,32
AA100,DEN,ATL,2023-10-24,02:40:00,2023-07-17,Travel Agency,2905,38,Business,1284.2,Premium,Miles,2023-10,2023-10-01,0.89,0.31,3.26,2023-10,No Holiday,2023-10-24,Non-Holiday,0,Storm,30.81,7.18,15.59,13,0,347.13,99,American Airlines,296,293,160,296
EA505,ORD,MIA,2023-01-08,07:04:00,2022-11-17,Online,819,62,First Class,970.03,Regular,Debit Card,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-08,Non-Holiday,0,Storm,17.48,15.38,2.75,168,0,788.11,52,Emirates,7,51,424,7
AA100,LAX,ATL,2023-07-16,00:29:00,2023-06-27,Travel Agency,2467,55,Economy,481.35,Discount,Miles,2023-07,2023-07-01,4.06,4.61,6.33,2023-07,No Holiday,2023-07-16,Non-Holiday,0,Storm,22.61,2.2,3.63,104,0,1235.85,19,American Airlines,196,273,29,196
BA202,ORD,SEA,2023-08-20,10:31:00,2023-06-29,Phone,4634,42,Business,263.17,Discount,Debit Card,2023-08,2023-08-01,4.68,0.36,8.92,2023-08,No Holiday,2023-08-20,Non-Holiday,0,Storm,5.75,0.34,41.79,209,0,1397.22,52,British Airways,231,275,631,231
AA100,DFW,SFO,2023-01-04,14:47:00,2022-12-05,Online,1030,38,First Class,260.03,Premium,Miles,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-04,Non-Holiday,0,Storm,31.6,8.55,11.24,20,0,1088.4,30,American Airlines,3,69,887,3
EA505,LAX,SFO,2023-03-06,17:22:00,2022-12-08,Phone,2758,54,Economy,1158.77,Regular,Miles,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-06,Non-Holiday,0,Fog,26.84,19.35,17.81,53,0,1291.05,88,Emirates,64,72,1042,64
EA505,DEN,ATL,2023-08-08,12:10:00,2023-07-30,Travel Agency,4563,29,First Class,416.67,Regular,Credit Card,2023-08,2023-08-01,4.68,0.36,8.92,2023-08,No Holiday,2023-08-08,Non-Holiday,0,Clear,-6.27,6.14,1.09,55,0,1329.74,9,Emirates,219,306,730,219
DA404,LAX,MIA,2023-07-08,19:54:00,2023-07-02,Phone,569,58,Economy,888.02,Discount,Debit Card,2023-07,2023-07-01,4.06,4.61,6.33,2023-07,No Holiday,2023-07-08,Non-Holiday,0,Rain,-3.78,15.59,12.92,15,0,570.51,6,Delta Airlines,188,278,1194,188
EA505,ORD,SEA,2023-08-16,19:21:00,2023-08-05,Phone,769,29,Economy,1177.58,Premium,Debit Card,2023-08,2023-08-01,4.68,0.36,8.92,2023-08,No Holiday,2023-08-16,Non-Holiday,0,Fog,-9.39,6.05,24.41,127,0,435.17,11,Emirates,227,312,1161,227
AA100,DFW,LAS,2023-05-03,01:11:00,2023-04-08,Travel Agency,178,25,Economy,870.51,Premium,Debit Card,2023-05,2023-05-01,-1.37,5.33,6.61,2023-05,No Holiday,2023-05-03,Non-Holiday,0,Rain,37.66,18.61,22.39,221,0,1365.08,25,American Airlines,122,193,71,122
EA505,LAX,ATL,2023-01-20,19:08:00,2022-12-01,Online,1563,68,Business,614.02,Discount,Miles,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-20,Non-Holiday,0,Fog,39.64,12.77,48.46,86,0,391.89,50,Emirates,19,65,1148,19
DA404,DFW,LAS,2023-12-08,10:05:00,2023-09-14,Phone,4686,51,First Class,387.04,Premium,Miles,2023-12,2023-12-01,3.85,2.98,4.42,2023-12,No Holiday,2023-12-08,Non-Holiday,0,Snow,17.96,9.12,33.2,50,0,122.26,85,Delta Airlines,341,352,605,341
AA100,LAX,SFO,2023-05-23,04:13:00,2023-03-08,Phone,4181,29,First Class,104.9,Regular,Credit Card,2023-05,2023-05-01,-1.37,5.33,6.61,2023-05,No Holiday,2023-05-23,Non-Holiday,0,Clear,5.76,14.46,43.57,161,0,575.16,76,American Airlines,142,162,253,142
AA100,LAX,SEA,2023-06-28,08:17:00,2023-06-18,Phone,2514,66,Economy,980.68,Premium,Debit Card,2023-06,2023-06-01,-0.8,4.07,6.29,2023-06,No Holiday,2023-06-28,Non-Holiday,0,Storm,14.99,13.59,31.66,135,0,243.25,10,American Airlines,178,264,497,178
AA100,DFW,MIA,2023-06-30,06:04:00,2023-03-25,Phone,3336,31,First Class,163.05,Discount,Miles,2023-06,2023-06-01,-0.8,4.07,6.29,2023-06,No Holiday,2023-06-30,Non-Holiday,0,Fog,33.24,7.41,24.49,109,0,1168.58,97,American Airlines,180,179,364,180
CA303,LAX,SFO,2023-09-29,12:41:00,2023-08-25,Travel Agency,1801,27,Business,1384.5,Discount,Credit Card,2023-09,2023-09-01,0.55,9.26,2.72,2023-09,No Holiday,2023-09-29,Non-Holiday,0,Rain,-9.97,9.03,30.68,171,0,613.49,35,Air Canada,271,332,761,271
DA404,DEN,ATL,2023-03-18,21:15:00,2023-01-23,Travel Agency,1589,60,Economy,495.7,Discount,Debit Card,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-18,Non-Holiday,0,Clear,22.27,10.84,12.91,26,0,1253.69,54,Delta Airlines,76,118,1275,76
EA505,DEN,MIA,2023-08-21,08:02:00,2023-07-10,Online,3187,58,Business,605.78,Discount,Miles,2023-08,2023-08-01,4.68,0.36,8.92,2023-08,No Holiday,2023-08-21,Non-Holiday,0,Snow,19.27,2.47,11.61,52,0,313.8,42,Emirates,232,286,482,232
CA303,DEN,LAS,2023-04-13,14:24:00,2023-02-16,Online,3700,54,First Class,1044.75,Discount,Credit Card,2023-04,2023-04-01,3.01,4.91,7.04,2023-04,No Holiday,2023-04-13,Non-Holiday,0,Clear,4.45,1.47,4.67,105,0,222.74,56,Air Canada,102,142,864,102
AA100,JFK,SEA,2023-03-09,14:07:00,2022-12-11,Travel Agency,1768,23,Economy,372.73,Discount,Debit Card,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-09,Non-Holiday,0,Clear,-6.09,2.51,29.1,226,0,154.24,88,American Airlines,67,75,847,67
DA404,JFK,SEA,2023-07-09,13:56:00,2023-05-26,Phone,89,48,Business,575.69,Regular,Miles,2023-07,2023-07-01,4.06,4.61,6.33,2023-07,No Holiday,2023-07-09,Non-Holiday,0,Clear,13.34,13.4,26.05,70,0,831.7,44,Delta Airlines,189,241,836,189
BA202,DEN,ATL,2023-09-28,16:46:00,2023-08-21,Phone,2549,24,Business,1498.85,Discount,Miles,2023-09,2023-09-01,0.55,9.26,2.72,2023-09,No Holiday,2023-09-28,Non-Holiday,0,Rain,21.58,7.73,19.16,63,0,611.49,38,British Airways,270,328,1006,270
EA505,DFW,LAS,2023-03-08,21:38:00,2023-02-11,Online,1441,62,Business,860.47,Discount,Credit Card,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-08,Non-Holiday,0,Snow,3.19,18.99,16.26,226,0,639.08,25,Emirates,66,137,1298,66
BA202,ORD,MIA,2023-05-17,16:44:00,2023-03-26,Travel Agency,1294,18,First Class,882.81,Discount,Miles,2023-05,2023-05-01,-1.37,5.33,6.61,2023-05,No Holiday,2023-05-17,Non-Holiday,0,Storm,28.95,13.49,46.7,12,0,183.73,52,British Airways,136,180,1004,136
EA505,DEN,ATL,2023-05-24,06:36:00,2023-03-02,Travel Agency,2281,33,First Class,1489.42,Regular,Debit Card,2023-05,2023-05-01,-1.37,5.33,6.61,2023-05,No Holiday,2023-05-24,Non-Holiday,0,Rain,21.59,13.24,2.72,48,0,746.73,83,Emirates,143,156,396,143
EA505,JFK,LAS,2023-08-18,18:23:00,2023-06-21,Phone,1365,49,Business,1059.17,Regular,Debit Card,2023-08,2023-08-01,4.68,0.36,8.92,2023-08,No Holiday,2023-08-18,Non-Holiday,0,Snow,18.82,17.7,46.42,126,0,355.16,58,Emirates,229,267,1103,229
CA303,DFW,LAS,2023-02-03,05:22:00,2022-10-28,Phone,4416,30,Economy,1295.96,Premium,Debit Card,2023-02,2023-02-01,-0.8,3.75,6.88,2023-02,No Holiday,2023-02-03,Non-Holiday,0,Storm,2.63,6.08,1.99,6,0,687.88,98,Air Canada,33,31,322,33
CA303,DFW,LAS,2023-11-03,10:06:00,2023-08-03,Phone,601,58,Business,1421.44,Regular,Debit Card,2023-11,2023-11-01,0.77,7.73,8.5,2023-11,No Holiday,2023-11-03,Non-Holiday,0,Snow,-1.4,19.68,29.31,186,1,1107.6,92,Air Canada,306,310,606,306
DA404,JFK,ATL,2023-07-01,07:04:00,2023-06-21,Travel Agency,3771,55,Economy,595.19,Regular,Miles,2023-07,2023-07-01,4.06,4.61,6.33,2023-07,Christmas,2023-07-01,Public Holiday,1,Clear,6.53,15.67,15.17,116,0,389.5,10,Delta Airlines,181,267,424,181
CA303,LAX,LAS,2023-08-20,23:22:00,2023-06-03,Travel Agency,4828,69,First Class,501.58,Premium,Miles,2023-08,2023-08-01,4.68,0.36,8.92,2023-08,No Holiday,2023-08-20,Non-Holiday,0,Snow,-8.28,14.9,5.78,96,0,1080.92,78,Air Canada,231,249,1402,231
AA100,JFK,SFO,2023-07-20,12:11:00,2023-06-07,Online,3426,22,First Class,221.65,Premium,Debit Card,2023-07,2023-07-01,4.06,4.61,6.33,2023-07,No Holiday,2023-07-20,Non-Holiday,0,Rain,27.68,2.25,30.54,22,0,247.31,43,American Airlines,200,253,731,200
CA303,LAX,SFO,2023-09-29,12:41:00,2023-08-25,Travel Agency,1801,27,Business,1384.5,Discount,Credit Card,2023-09,2023-09-01,0.55,9.26,2.72,2023-09,No Holiday,2023-09-29,Non-Holiday,0,Rain,-9.97,9.03,30.68,102,0,515.6,35,Air Canada,271,332,761,271
BA202,LAX,LAS,2023-04-22,12:39:00,2023-02-11,Online,2600,53,Business,290.64,Discount,Debit Card,2023-04,2023-04-01,3.01,4.91,7.04,2023-04,No Holiday,2023-04-22,Non-Holiday,0,Snow,34.42,2.31,35.45,107,0,728.93,70,British Airways,111,137,759,111
AA100,DFW,SFO,2023-12-29,23:08:00,2023-12-05,Online,899,24,Business,125.17,Premium,Credit Card,2023-12,2023-12-01,3.85,2.98,4.42,2023-12,No Holiday,2023-12-29,Non-Holiday,0,Clear,39.6,7.07,2.2,125,0,146.9,24,American Airlines,362,434,1388,362
BA202,LAX,SFO,2023-01-01,21:27:00,2022-11-29,Travel Agency,2714,46,First Class,591.54,Regular,Credit Card,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,Independence Day,2023-01-01,Cultural Event,1,Fog,20.86,7.12,23.84,146,0,1044.47,33,British Airways,0,63,1287,0
EA505,DFW,SEA,2023-06-23,08:19:00,2023-04-26,Travel Agency,3483,19,Business,1379.74,Discount,Miles,2023-06,2023-06-01,-0.8,4.07,6.29,2023-06,No Holiday,2023-06-23,Non-Holiday,0,Clear,11.66,2.47,9.88,24,0,121.27,58,Emirates,173,211,499,173
CA303,ORD,LAS,2023-01-15,16:04:00,2023-01-13,Travel Agency,1049,65,Business,257.48,Discount,Credit Card,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-15,Non-Holiday,0,Clear,19.89,8.82,39.1,207,0,424.22,2,Air Canada,14,108,964,14
BA202,DEN,LAS,2023-10-29,11:10:00,2023-08-15,Travel Agency,1791,56,Economy,592.48,Regular,Credit Card,2023-10,2023-10-01,0.89,0.31,3.26,2023-10,No Holiday,2023-10-29,Non-Holiday,0,Rain,8.72,13.55,13.23,183,1,1313.47,75,British Airways,301,322,670,301
BA202,DFW,SEA,2023-08-04,11:52:00,2023-06-20,Phone,3494,37,Business,409.79,Discount,Credit Card,2023-08,2023-08-01,4.68,0.36,8.92,2023-08,No Holiday,2023-08-04,Non-Holiday,0,Storm,-3.02,17.05,11.2,37,0,567.39,45,British Airways,215,266,712,215
CA303,ORD,LAS,2023-09-26,21:28:00,2023-07-19,Phone,2809,61,Economy,755.75,Discount,Credit Card,2023-09,2023-09-01,0.55,9.26,2.72,2023-09,No Holiday,2023-09-26,Non-Holiday,0,Fog,36.36,16.23,40.65,130,0,1148.19,69,Air Canada,268,295,1288,268
AA100,DEN,ATL,2023-11-21,22:59:00,2023-10-25,Online,1691,27,Economy,394.76,Discount,Debit Card,2023-11,2023-11-01,0.77,7.73,8.5,2023-11,No Holiday,2023-11-21,Non-Holiday,0,Rain,21.42,8.14,14.44,95,0,255.61,27,American Airlines,324,393,1379,324
BA202,LAX,SEA,2023-10-28,22:54:00,2023-08-18,Online,3557,51,Economy,766.11,Regular,Credit Card,2023-10,2023-10-01,0.89,0.31,3.26,2023-10,No Holiday,2023-10-28,Non-Holiday,0,Snow,14.3,7.62,39.29,65,0,1211.73,71,British Airways,300,325,1374,300
AA100,JFK,MIA,2023-01-25,11:09:00,2022-12-09,Phone,1027,27,Business,470.1,Premium,Credit Card,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-25,Non-Holiday,0,Rain,38.18,7.13,44.99,217,0,1343.82,47,American Airlines,24,73,669,24
EA505,DEN,SFO,2023-07-26,12:08:00,2023-06-30,Online,3360,32,Business,1455.98,Discount,Debit Card,2023-07,2023-07-01,4.06,4.61,6.33,2023-07,No Holiday,2023-07-26,Non-Holiday,0,Storm,15.72,14.3,29.15,184,0,371.09,26,Emirates,206,276,728,206
CA303,DEN,MIA,2023-03-19,21:59:00,2022-12-25,Online,4205,35,Economy,1176.69,Discount,Credit Card,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-19,Non-Holiday,0,Rain,-9.61,13.11,15.35,36,0,282.25,84,Air Canada,77,89,1319,77
CA303,JFK,SFO,2023-02-01,16:11:00,2022-11-25,Online,3522,64,Business,583.75,Regular,Miles,2023-02,2023-02-01,-0.8,3.75,6.88,2023-02,Independence Day,2023-02-01,Public Holiday,1,Fog,-3.14,4.93,46.96,145,0,1284.29,68,Air Canada,31,59,971,31
BA202,DEN,ATL,2023-12-01,22:30:00,2023-11-27,Online,651,67,First Class,1313.71,Premium,Miles,2023-12,2023-12-01,3.85,2.98,4.42,2023-12,Independence Day,2023-12-01,Cultural Event,1,Rain,12.11,9.28,42.78,88,0,563.9,4,British Airways,334,426,1350,334
AA100,JFK,LAS,2023-01-17,14:22:00,2023-01-03,Travel Agency,2004,31,Economy,1091.85,Premium,Miles,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-17,Non-Holiday,0,Clear,20.52,3.9,20.33,149,0,706.01,14,American Airlines,16,98,862,16
DA404,DEN,MIA,2023-07-18,03:29:00,2023-05-12,Phone,1922,30,Economy,694.12,Premium,Miles,2023-07,2023-07-01,4.06,4.61,6.33,2023-07,No Holiday,2023-07-18,Non-Holiday,0,Clear,24.23,0.73,10.77,190,0,1344.16,67,Delta Airlines,198,227,209,198
BA202,DFW,ATL,2023-08-03,11:43:00,2023-07-16,Online,1806,37,Economy,1398.77,Premium,Miles,2023-08,2023-08-01,4.68,0.36,8.92,2023-08,No Holiday,2023-08-03,Non-Holiday,0,Storm,-6.82,17.23,32.67,172,0,536.39,18,British Airways,214,292,703,214
BA202,ORD,MIA,2023-06-08,04:59:00,2023-03-17,Phone,60,55,Economy,566.03,Premium,Miles,2023-06,2023-06-01,-0.8,4.07,6.29,2023-06,No Holiday,2023-06-08,Non-Holiday,0,Fog,38.07,0.36,44.25,62,0,1319.3,83,British Airways,158,171,299,158
DA404,DEN,MIA,2023-07-16,08:47:00,2023-06-14,Travel Agency,2848,19,Economy,245.35,Regular,Miles,2023-07,2023-07-01,4.06,4.61,6.33,2023-07,No Holiday,2023-07-16,Non-Holiday,0,Storm,4.65,10.71,22.36,104,0,588.65,32,Delta Airlines,196,260,527,196
EA505,LAX,SEA,2023-03-30,04:04:00,2022-12-22,Phone,1908,63,Economy,1202.7,Premium,Credit Card,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-30,Non-Holiday,0,Clear,32.59,1.41,47.92,165,0,837.88,98,Emirates,88,86,244,88
CA303,ORD,ATL,2023-01-10,07:02:00,2022-12-28,Online,1871,42,First Class,1268.22,Regular,Miles,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-10,Non-Holiday,0,Clear,-3.29,19.77,45.53,132,0,128.59,13,Air Canada,9,92,422,9
CA303,DEN,LAS,2023-01-15,07:32:00,2022-12-06,Online,3806,40,Business,1489.01,Regular,Debit Card,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-15,Non-Holiday,0,Rain,32.29,1.22,8.75,100,0,572.82,40,Air Canada,14,70,452,14
BA202,DEN,SEA,2023-03-14,09:24:00,2022-12-20,Online,891,49,First Class,160.34,Regular,Credit Card,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-14,Non-Holiday,0,Fog,11.79,15.92,18.36,105,0,989.03,84,British Airways,72,84,564,72
AA100,DEN,SFO,2023-04-23,22:12:00,2023-03-31,Phone,2956,62,First Class,929.15,Regular,Miles,2023-04,2023-04-01,3.01,4.91,7.04,2023-04,No Holiday,2023-04-23,Non-Holiday,0,Storm,-5.03,11.51,37.66,172,0,225.76,23,American Airlines,112,185,1332,112
AA100,ORD,ATL,2023-04-22,05:55:00,2023-01-26,Online,3787,29,Business,163.02,Regular,Miles,2023-04,2023-04-01,3.01,4.91,7.04,2023-04,No Holiday,2023-04-22,Non-Holiday,0,Storm,-4.28,9.5,21.33,150,0,1378.15,86,American Airlines,111,121,355,111
DA404,LAX,LAS,2023-03-18,04:57:00,2023-02-09,Online,2803,38,Business,929.82,Discount,Debit Card,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-18,Non-Holiday,0,Rain,-0.18,3.18,3.43,103,0,1070.92,37,Delta Airlines,76,135,297,76
AA100,LAX,SFO,2023-05-26,10:30:00,2023-04-18,Phone,4020,23,Economy,948.22,Regular,Miles,2023-05,2023-05-01,-1.37,5.33,6.61,2023-05,No Holiday,2023-05-26,Non-Holiday,0,Rain,37.68,8.6,28.93,125,0,216.55,38,American Airlines,145,203,630,145
EA505,LAX,ATL,2023-06-07,16:08:00,2023-04-15,Travel Agency,2479,28,Economy,1020.44,Regular,Credit Card,2023-06,2023-06-01,-0.8,4.07,6.29,2023-06,No Holiday,2023-06-07,Non-Holiday,0,Storm,21.71,12.58,9.13,90,0,258.54,53,Emirates,157,200,968,157
AA100,JFK,SEA,2023-03-13,07:14:00,2023-02-08,Online,222,55,Business,183.65,Regular,Miles,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-13,Non-Holiday,0,Snow,-5.28,17.16,29.77,68,0,873.72,33,American Airlines,71,134,434,71
AA100,JFK,SFO,2023-03-18,01:55:00,2023-02-12,Phone,3261,48,First Class,1284.92,Discount,Credit Card,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-18,Non-Holiday,0,Rain,-3.53,10.19,8.55,57,0,1172.78,34,American Airlines,76,138,115,76
EA505,ORD,SFO,2023-06-05,15:00:00,2023-05-27,Phone,2450,64,Economy,451.85,Premium,Credit Card,2023-06,2023-06-01,-0.8,4.07,6.29,2023-06,No Holiday,2023-06-05,Non-Holiday,0,Fog,21.0,11.42,12.63,18,0,1313.58,9,Emirates,155,242,900,155
DA404,DFW,ATL,2023-12-11,13:16:00,2023-09-23,Phone,340,44,First Class,151.46,Discount,Miles,2023-12,2023-12-01,3.85,2.98,4.42,2023-12,No Holiday,2023-12-11,Non-Holiday,0,Fog,24.01,14.77,3.85,226,0,963.7,79,Delta Airlines,344,361,796,344
AA100,JFK,SEA,2023-05-18,04:53:00,2023-03-02,Online,4412,47,Economy,464.68,Discount,Miles,2023-05,2023-05-01,-1.37,5.33,6.61,2023-05,No Holiday,2023-05-18,Non-Holiday,0,Fog,30.59,4.63,35.1,88,0,1281.6,77,American Airlines,137,156,293,137
DA404,LAX,LAS,2023-03-29,18:25:00,2023-02-05,Phone,624,60,Business,1130.23,Regular,Debit Card,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-29,Non-Holiday,0,Storm,10.0,18.69,37.23,164,0,432.95,52,Delta Airlines,87,131,1105,87
DA404,ORD,ATL,2023-01-16,04:21:00,2022-12-27,Phone,4045,52,First Class,1254.38,Discount,Miles,2023-01,2023-01-01,2.87,4.53,2.9,2023-01,No Holiday,2023-01-16,Non-Holiday,0,Storm,28.58,12.2,3.75,80,0,442.45,20,Delta Airlines,15,91,261,15
BA202,LAX,SFO,2023-05-06,11:03:00,2023-03-02,Online,3158,33,First Class,285.99,Regular,Credit Card,2023-05,2023-05-01,-1.37,5.33,6.61,2023-05,No Holiday,2023-05-06,Non-Holiday,0,Clear,32.49,17.76,21.02,82,1,318.96,65,British Airways,125,156,663,125
EA505,DEN,LAS,2023-12-12,09:41:00,2023-10-19,Phone,2427,50,Business,799.26,Regular,Miles,2023-12,2023-12-01,3.85,2.98,4.42,2023-12,No Holiday,2023-12-12,Non-Holiday,0,Storm,17.88,14.5,4.48,223,0,250.26,54,Emirates,345,387,581,345
CA303,JFK,LAS,2023-04-21,22:54:00,2023-02-21,Phone,2117,28,Economy,121.49,Regular,Debit Card,2023-04,2023-04-01,3.01,4.91,7.04,2023-04,No Holiday,2023-04-21,Non-Holiday,0,Clear,16.31,4.93,44.86,90,1,877.25,59,Air Canada,110,147,1374,110
BA202,LAX,SEA,2023-04-22,23:55:00,2023-04-07,Travel Agency,3497,58,Business,445.62,Regular,Debit Card,2023-04,2023-04-01,3.01,4.91,7.04,2023-04,No Holiday,2023-04-22,Non-Holiday,0,Storm,-3.13,13.32,8.0,30,0,1306.65,15,British Airways,111,192,1435,111
BA202,DEN,SEA,2023-06-04,13:09:00,2023-03-06,Travel Agency,65,53,Business,1287.67,Discount,Debit Card,2023-06,2023-06-01,-0.8,4.07,6.29,2023-06,No Holiday,2023-06-04,Non-Holiday,0,Rain,15.02,17.15,12.81,55,0,454.93,90,British Airways,154,160,789,154
DA404,JFK,SEA,2023-03-10,15:38:00,2023-02-17,Travel Agency,894,61,First Class,170.22,Premium,Debit Card,2023-03,2023-03-01,4.82,6.22,7.66,2023-03,No Holiday,2023-03-10,Non-Holiday,0,Storm,10.25,1.01,3.29,201,0,721.77,21,Delta Airlines,68,143,938,68
BA202,DFW,SFO,2023-09-20,18:45:00,2023-07-22,Online,231,65,Business,122.45,Premium,Credit Card,2023-09,2023-09-01,0.55,9.26,2.72,2023-09,No Holiday,2023-09-20,Non-Holiday,0,Rain,7.68,12.97,44.46,106,0,114.49,60,British Airways,262,298,1125,262
BA202,ORD,SEA,2023-07-21,12:53:00,2023-05-15,Online,4154,44,First Class,1423.06,Regular,Miles,2023-07,2023-07-01,4.06,4.61,6.33,2023-07,No Holiday,2023-07-21,Non-Holiday,0,Clear,27.94,9.58,24.97,180,0,1158.35,67,British Airways,201,230,773,201
DA404,ORD,SFO,2023-06-05,11:40:00,2023-04-18,Travel Agency,2429,25,Business,1217.57,Regular,Credit Card,2023-06,2023-06-01,-0.8,4.07,6.29,2023-06,No Holiday,2023-06-05,Non-Holiday,0,Fog,21.0,11.42,12.63,63,0,264.3,48,Delta Airlines,155,203,700,155
BA202,DFW,LAS,2023-07-02,19:07:00,2023-06-15,Travel Agency,743,59,First Class,397.32,Discount,Debit Card,2023-07,2023-07-01,4.06,4.61,6.33,2023-07,No Holiday,2023-07-02,Non-Holiday,0,Storm,38.14,3.23,20.3,15,0,166.25,17,British Airways,182,261,1147,182
EA505,DFW,ATL,2023-10-24,21:20:00,2023-08-25,Online,642,41,Economy,172.69,Regular,Credit Card,2023-10,2023-10-01,0.89,0.31,3.26,2023-10,No Holiday,2023-10-24,Non-Holiday,0,Snow,36.82,0.81,15.23,53,0,715.17,60,Emirates,296,332,1280,296
CA303,ORD,SFO,2023-07-16,22:15:00,2023-06-22,Online,4251,45,First Class,755.43,Discount,Credit Card,2023-07,2023-07-01,4.06,4.61,6.33,2023-07,No Holiday,2023-07-16,Non-Holiday,0,Fog,8.08,14.66,43.65,26,0,927.84,24,Air Canada,196,268,1335,196
EA505,DFW,LAS,2023-04-05,07:10:00,2023-03-17,Phone,1191,28,First Class,1087.11,Premium,Miles,2023-04,2023-04-01,3.01,4.91,7.04,2023-04,No Holiday,2023-04-05,Non-Holiday,0,Snow,35.39,18.76,29.33,19,1,1064.88,19,Emirates,94,171,430,94
CA303,JFK,ATL,2023-12-20,19:02:00,2023-11-13,Travel Agency,516,44,First Class,1434.09,Premium,Credit Card,2023-12,2023-12-01,3.85,2.98,4.42,2023-12,No Holiday,2023-12-20,Non-Holiday,0,Storm,-2.51,19.1,40.04,17,0,1052.54,37,Air Canada,353,412,1142,353
EA505,DEN,ATL,2023-05-01,02:29:00,2023-03-24,Travel Agency,2678,55,Economy,1113.34,Premium,Credit Card,2023-05,2023-05-01,-1.37,5.33,6.61,2023-05,Independence Day,2023-05-01,Cultural Event,1,Rain,37.67,15.05,28.0,189,0,842.85,38,Emirates,120,178,149,120
